release_date,title,channel_name,url
08/03/2023,Mindset Seorang Pecundang,Timothy Ronald,https://www.youtube.com/watch?v=fqTnpyq9b0M
07/28/2023,Uang Adalah Energi,Timothy Ronald,https://www.youtube.com/watch?v=u9d4tu78ceQ
07/22/2023,Saham Adalah Ilusi,Timothy Ronald,https://www.youtube.com/watch?v=rd2HwpoiPi8
07/15/2023,Borong Bitcoin Episode 2 - Juli 2023,Timothy Ronald,https://www.youtube.com/watch?v=uIzVcLkxEjs
07/08/2023,Investasi Crypto Dari Nol Untuk Pemula,Timothy Ronald,https://www.youtube.com/watch?v=e0fbu5QvdWY
07/04/2023,Investasi Terbaik Untuk Budget 10 Jutaan,Timothy Ronald,https://www.youtube.com/watch?v=4iXzSfCrlqY
06/28/2023,Borong Bitcoin Episode 1 - Juni 2023,Timothy Ronald,https://www.youtube.com/watch?v=5FEjlIFPlws
06/27/2023,Cara Keluar Dari Matrix,Timothy Ronald,https://www.youtube.com/watch?v=MwP7ODmSDaM
06/14/2023,Strategi Gua Untuk Bikin 100M Dalam 2 Tahun,Timothy Ronald,https://www.youtube.com/watch?v=2k-FLdvXSio
06/06/2023,Keluar Dari Sistem Perbudakan Fiat,Timothy Ronald,https://www.youtube.com/watch?v=vXGoIWAqpgE
05/26/2023,Tips Merekrut Karyawan Pertama - Ilmu Jalanan,Timothy Ronald,https://www.youtube.com/watch?v=CKJGrFVhbfM
05/19/2023,Bos Holywings Harta 5 Triliun! - Andrew Susanto,Timothy Ronald,https://www.youtube.com/watch?v=bjbxaEObCs8
05/12/2023,Stop Bohongin Diri Sendiri,Timothy Ronald,https://www.youtube.com/watch?v=6UpJs9NSKTc
05/04/2023,Hoki itu Bisa Dibuat,Timothy Ronald,https://www.youtube.com/watch?v=vJEeOsA-YfE
04/30/2023,"Hidup Cuma Sekali, Jangan Jadi Pecundang",Timothy Ronald,https://www.youtube.com/watch?v=v7K5sYVClOE
04/21/2023,Ini yang Akan Gua Lakuin Kalo Baru Mulai Investasi di 2023,Timothy Ronald,https://www.youtube.com/watch?v=dfZdItAdFu4
04/14/2023,Cara Jadi Kaya,Timothy Ronald,https://www.youtube.com/watch?v=pUEc5RgChxw
04/04/2023,7 Nasehat Hidup Dari Mentor Triliuner,Timothy Ronald,https://www.youtube.com/watch?v=FwlrYiDKbyo
03/25/2023,Cara Ngatur Duit Tanpa Ribet,Timothy Ronald,https://www.youtube.com/watch?v=sCUghGYNGC4
03/19/2023,Kerja Lebih Keras Dari Siapapun,Timothy Ronald,https://www.youtube.com/watch?v=JIdT4vx38lk
03/15/2023,Bagaimana Cara Orang Kaya Tambah Kaya,Timothy Ronald,https://www.youtube.com/watch?v=FSdC90x4kic
03/09/2023,Ini Yang Bakal Gua Lakuin Kalo Mulai Lagi Dari 0,Timothy Ronald,https://www.youtube.com/watch?v=iqR9t7D4HwI
03/04/2023,Cara Punya Mindset Orang Sukses,Timothy Ronald,https://www.youtube.com/watch?v=LOHYl1egXKU
03/01/2023,Keluar Dari Sistem Perbudakan Modern,Timothy Ronald,https://www.youtube.com/watch?v=2Oe8ie0awAg
02/25/2023,Keluar Dari Mindset Orang Miskin,Timothy Ronald,https://www.youtube.com/watch?v=kFhF0ArcMQs
02/21/2023,Kalian Semua Dibohongi Soal Inflasi,Timothy Ronald,https://www.youtube.com/watch?v=ZxQBzrbKuMA
02/17/2023,Kesalahan Terbesar Investasi Gua di Umur 18 Tahun,Timothy Ronald,https://www.youtube.com/watch?v=07AGth0cGt0
01/28/2023,BlackRock: Perusahaan Yang Memiliki Dunia,Timothy Ronald,https://www.youtube.com/watch?v=6aDj8UM9lTY
01/07/2023,Investasi Terbaik Untuk Pemula Dengan Modal Kecil (2023),Timothy Ronald,https://www.youtube.com/watch?v=4axq2s-T9Z0
01/03/2023,Manfaatin Revolusi A.I Untuk Jadi Kaya (2023),Timothy Ronald,https://www.youtube.com/watch?v=hgUCtZZT_vc
12/30/2022,Siapa Yang Sebenarnya Mengontrol Semua Uang Kita?,Timothy Ronald,https://www.youtube.com/watch?v=3UyyEb-UERA
12/23/2022,Strategy Investasi Crypto (2023),Timothy Ronald,https://www.youtube.com/watch?v=5Dg5WsT6l5Y
12/07/2022,Ngobrolin Crypto ft. Oscar Darmawan | CEO Indodax,Timothy Ronald,https://www.youtube.com/watch?v=_sQ8QEZo6qw
12/02/2022,Sisi Gelap Dunia Saham,Timothy Ronald,https://www.youtube.com/watch?v=4aVRwQutljg
11/28/2022,Penipu Terbesar Dalam Sejarah Crypto: Sam-Bankman Fried,Timothy Ronald,https://www.youtube.com/watch?v=SvmuBiehqO0
10/25/2022,Ngerti Saham Dalam 30 Menit,Timothy Ronald,https://www.youtube.com/watch?v=tQXX-npOeUY
